Sex,LGA,Community,How old were you at your last birthday?,What religion do you practice?,Ethnic group:,"What is your marital status?	",What is the type of your family?,Employment status: ,What is your highest qualification obtained?,Are you aware of human trafficking before? ,"Are you aware that there is a law against the recruitment, transportation, habouring of persons for the purpose of exploiting them?",Are you aware of any girl in this community who left/ or followed another person to other locations but ended up being deceived to do sex work or other unwanted work? ,Where do you think that she was taken to?,Do you know of anyone in your community who travelled like that and was returned and now needs help to have a good means of livelihood?,Have you heard before of any campaign on issues concerning anti-trafficking?,"What media sources do you access information on issues of interest to you, such as anti-trafficking campaigns?",16. Have you heard about organizations where you can go and obtain services regarding anti-trafficking? ,Have you heard of an Agency called NAPTIP? ,Do you know of the function that the Agency performs?,Why do you think that young men and young women in this community travel abroad?
Female,Ovia North East,Oluku,31 and Above,Islam,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television;Radio;Social Media,No,Yes,Yes,"Too much suffering
For financial purpose
For a good life"
Male,Ovia North East,Oluku,25-30,Islam,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,No,Yes,Television;Radio;Social Media,Yes,Yes,Yes,For financial purposes
Male,Ovia North East,Oluku,31 and Above,Christianity,Others,Married,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio,No,No,No,"For money purpose
For good life"
Female,Ovia North East,Oluku,31 and Above,Christianity,Yoruba,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio,No,No,No,"To make money
For greener pastures"
Male,Ovia North East,Oluku,31 and Above,Christianity,Others,Divorced/Separated/Widowed,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television,Yes,Yes,Yes,"No job
Bad leaders"
Male,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Others,No,No,No,They travel abroad because there is no money in our country and no comfort
Female,Ovia North East,Oluku,18-24,Christianity,Others,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television,Yes,No,No,"People feel its better there
For greener pastures"
Female,Ovia North East,Oluku,31 and Above,Islam,Others,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television,No,No,No,"No money here in Nigeria
No work"
Female,Ovia North East,Oluku,18-24,Christianity,Others,Single,Polygamous,Student,Tertiary Education,Yes,No,No,Don't Know,No,No,Television,No,No,No,Poverty
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Primary Education,Yes,Yes,Yes,Outside the Country,No,Yes,Social Media,Yes,Yes,Yes,To seek for greener pastures
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,Yes,No,Television,No,No,No,"To find jobs
To make money"
Female,Ovia North East,Oluku,18-24,Christianity,Others,Single,Monogamous,Student,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television,No,No,No,"Lack of money
Because of family issues"
Male,Ovia North East,Oluku,25-30,Christianity,Others,Single,Polygamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television,No,No,No,"Because of the currency
Because of their youth"
Male,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Social Media,Yes,Yes,Yes,"In search of greener pastures
To learn about cultures"
Female,Ovia North East,Oluku,18-24,Christianity,Others,Single,Monogamous,Student,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television,No,No,No,"To work
To seek for greener pastures"
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,Yes,Another Community,Yes,Yes,Social Media,Yes,Yes,Yes,"To make money
To change the lives of their family members"
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,No,Television,No,No,No,Because they want big money
Male,Ovia North East,Oluku,31 and Above,Christianity,Others,Married,Monogamous,Employed,Tertiary Education,Yes,Yes,No,Don't Know,No,No,Television,No,No,No,For greener pastures
Female,Ovia North East,Oluku,25-30,Christianity,Others,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television,Yes,Yes,Yes,"Lack of job
Hardship of the country"
Male,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio;Social Media,No,Yes,Yes,"To live a better life
To earn a living"
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Single,Polygamous,Employed,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Social Media,No,Yes,Not Sure,For greener pastures
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Single,Polygamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,Yes,No,Television;Radio,No,No,No,To earn a living
Male,Ovia North East,Oluku,18-24,Christianity,Others,Single,Monogamous,School drop out,Secondary Education,Yes,No,No,Don't Know,No,No,Television,No,Not sure,No,"Lack of job
Lack of Money"
Male,Ovia North East,Oluku,25-30,Christianity,Others,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television,No,Not sure,Not Sure,"For greener pastures
For money"
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television,No,No,No,Poverty
Female,Ovia North East,Oluku,31 and Above,Christianity,Others,Married,Monogamous,Self Employed/Business owner,Primary Education,Yes,Yes,Yes,Outside the Country,No,No,Television,No,Yes,No,Because of money
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Secondary Education,Yes,No,No,Don't Know,No,No,Television,No,No,No,Because of Money
Male,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television,No,Yes,Yes,"For good life
Because this country is not working"
Male,Ovia North East,Oluku,25-30,Christianity,Others,Single,Polygamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television,No,No,No,"For money
For international business"
Male,Ovia North East,Oluku,31 and Above,Christianity,Yoruba,Married,Polygamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television;Radio,No,Yes,Yes,"Money
Success stories of those who travelled"
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Social Media,No,Yes,Yes,"Economy meltdown
Unemployment and instability of the economy"
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Married,Polygamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,No,Don't Know,No,No,Television,No,No,No,Education purposes
Male,Ovia North East,Oluku,31 and Above,Christianity,Others,Married,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Newspaper,No,No,No,Money
Female,Ovia North East,Oluku,25-30,Christianity,Others,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television;Radio,No,No,No,For greener pastures
Female,Ovia North East,Oluku,31 and Above,Christianity,Edo,Single,Polygamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio;Social Media,No,No,No,"For greener pastures
To make life better"
Male,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Polygamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,No,Yes,Newspaper,Yes,Yes,Yes,"Poverty
Unemployment"
Male,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Monogamous,Student,Tertiary Education,No,No,No,Don't Know,No,No,Television;Radio,No,No,No,"For money
School"
Female,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Social Media,No,Not sure,No,"Bad government, no job"
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Employed,Primary Education,No,No,No,Don't Know,No,No,Radio,No,No,No,"Job, to better the life of their family members"
Male,Uhunmwode,Eyaen,25-30,Christianity,Others,Single,Monogamous,Self Employed/Business owner,Secondary Education,No,No,No,Don't Know,No,No,Radio,No,No,No,"Money, work"
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Married,Polygamous,Self Employed/Business owner,Primary Education,Yes,Yes,No,Don't Know,No,No,Radio;Social Media;Face to Face,No,No,No,Money
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Married,Polygamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Radio;Social Media;Face to Face,Yes,No,No,Poverty
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Polygamous,Employed,No Formal Education,No,Note Sure,No,Don't Know,No,No,Radio;Face to Face,No,No,Not Sure,hardships
Female,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Married,Polygamous,Unemployed,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Radio,No,No,No,No Job
Female,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Employed,Secondary Education,No,No,No,Don't Know,No,No,Radio,No,No,No,Suffering
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Polygamous,Employed,Secondary Education,Yes,Yes,Don't Know,Don't Know,No,No,Radio;Social Media;Face to Face,Yes,Yes,Not Sure,To look for good paying job
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Polygamous,Employed,Secondary Education,Yes,Note Sure,No,Don't Know,No,Yes,Radio;Social Media,No,No,No,Poverty
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Employed,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television;Radio;Social Media;Face to Face,No,No,No,lack of money
Female,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Married,Polygamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,Don't Know,Don't Know,No,Yes,Radio;Social Media,No,Yes,Not Sure,Hardship and suffering
Female,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Single,Polygamous,Unemployed,Secondary Education,Yes,Note Sure,No,Don't Know,No,No,Radio;Social Media;Face to Face,No,No,No,Lack of money
Female,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Single,Monogamous,Employed,Secondary Education,Yes,Yes,Don't Know,Don't Know,No,No,Television,Yes,Not sure,No,Lack of job
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,Yes,Outside the Country,No,No,Television;Social Media,No,Yes,Yes,Poverty
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Cohabiting,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television;Radio,No,Yes,Yes,No job
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television;Radio;Social Media;Face to Face,Yes,Yes,Yes,"Poverty,Bad government"
Female,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Polygamous,Employed,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Radio,No,No,No,"Lack of money, the country is bad"
Female,Uhunmwode,Eyaen,25-30,Christianity,Edo,Cohabiting,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,Don't Know,Don't Know,No,Yes,Radio,No,Yes,No,money
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Out of  School,Secondary Education,Yes,No,No,Don't Know,No,No,Face to Face,No,No,No,To live in a new environment
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Unemployed,Secondary Education,Yes,Note Sure,No,Don't Know,No,Yes,Face to Face,Yes,No,No,Money
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Polygamous,Unemployed,Secondary Education,Yes,No,No,Don't Know,No,No,Face to Face,No,No,No,Lack of money
Female,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Married,Polygamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Social Media,No,No,No,Poverty
Female,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Polygamous,Unemployed,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Social Media;Face to Face,No,No,No,money and to change environment
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Unemployed,Tertiary Education,Yes,No,Don't Know,Don't Know,No,No,Face to Face,No,No,No,money
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Unemployed,Secondary Education,Yes,No,Yes,Outside the Country,Yes,No,Face to Face,No,No,No,Money and to live in a new place
Male,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Married,Polygamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television,Yes,Yes,No,"Lack of development, poverty"
Female,Uhunmwode,Eyaen,18-24,Christianity,Others,Single,Monogamous,Employed,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television;Radio,No,No,No,No job
Female,Uhunmwode,Eyaen,25-30,Christianity,Edo,Married,Polygamous,Employed,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio,Yes,No,No,No employment in Nigeria
Male,Uhunmwode,Eyaen,18-24,Christianity,Others,Single,Monogamous,Self Employed/Business owner,Secondary Education,No,Yes,Yes,Outside the Country,No,No,Face to Face,No,No,No,Bad government
Male,Uhunmwode,Eyaen,25-30,Christianity,Others,Single,Polygamous,Self Employed/Business owner,Primary Education,No,Yes,No,Don't Know,No,No,Radio;Face to Face,No,No,No,Poverty
Male,Uhunmwode,Eyaen,31 and Above,Christianity,Others,Single,Polygamous,Self Employed/Business owner,Primary Education,No,No,No,Don't Know,No,No,Radio;Face to Face,No,No,No,Bad governance
Male,Uhunmwode,Eyaen,25-30,Christianity,Yoruba,Single,Monogamous,Unemployed,Tertiary Education,Yes,Yes,No,Don't Know,No,No,Others,No,No,No,Hardship
Male,Uhunmwode,Eyaen,31 and Above,Christianity,Others,Married,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,Yes,Outside the Country,No,Yes,Social Media,No,Yes,Yes,"To make money, hardship"
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Employed,Tertiary Education,Yes,No,Don't Know,Don't Know,No,No,Radio,No,Not sure,No,Unemployment
Female,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Polygamous,Employed,Primary Education,Yes,No,No,Don't Know,No,No,Face to Face,No,No,No,"Lack of help, people want to make money outside the country"
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,No,No,Don't Know,Don't Know,Yes,No,Newspaper;Television;Radio;Social Media,No,No,No,Better opportunity
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio;Social Media,Yes,No,No,To get better opportunities
Female,Uhunmwode,Eyaen,25-30,Christianity,Others,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Radio;Face to Face,No,No,No,To get a better living
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television;Radio,No,No,No,"Poverty
To change location"
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Student,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio;Social Media,No,No,No,To get a better life
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Employed,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio,No,No,No,Bad state of the country
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio,No,No,No,Poverty
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Student,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Newspaper;Television,No,No,No,Poverty
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Don't Know,Don't Know,No,No,Television;Radio,No,No,No,Bad state of the country
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Student,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio;Social Media,No,No,No,Poverty
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio;Social Media,No,No,No,To work
Female,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Married,Monogamous,Unemployed,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio,No,Yes,Yes,To get a better living
Male,Uhunmwode,Eyaen,31 and Above,Christianity,Others,Married,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,No,Don't Know,Yes,Yes,Newspaper;Television;Radio,No,Yes,Not Sure,Poverty
Female,Uhunmwode,Eyaen,25-30,Christianity,Yoruba,Married,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio;Social Media,No,Yes,No,Personal interest
Female,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Social Media,No,Yes,Not Sure,Money
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Social Media,No,No,No,Personal reasons
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Employed,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television,No,No,No,Better opportunities
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Don't Know,Don't Know,No,Yes,Television,No,Yes,Not Sure,Poverty
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television;Radio,No,No,No,Money
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,No,No,Don't Know,Don't Know,No,No,Television,No,No,No,Money
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Note Sure,No,Don't Know,Yes,Yes,Television,No,No,No,Money
Female,Uhunmwode,Eyaen,25-30,Christianity,Others,Single,Monogamous,Student,Tertiary Education,Yes,Yes,No,Don't Know,Yes,No,Television;Radio;Social Media,No,No,No,Money
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio,No,No,No,To make more money
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Television;Radio,No,No,No,The bad state of the country
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Television,No,Not sure,Not Sure,Money
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Television;Social Media,No,No,No,Money
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio;Social Media,No,No,No,Money
Male,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,No Formal Education,Yes,Yes,No,Don't Know,Yes,Yes,Television,No,Yes,Not Sure,Money
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio;Social Media,No,Not sure,Not Sure,Money
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Primary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio,No,Not sure,Not Sure,"Money
Business"
Male,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Married,Monogamous,Unemployed,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio,No,Yes,Yes,Poor state of the country
Female,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,No Formal Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio;Face to Face,Yes,No,No,Money
Male,Uhunmwode,Eyaen,31 and Above,Traditional religion,Edo,Divorced/Separated/Widowed,Polygamous,Unemployed,No Formal Education,Yes,Note Sure,Yes,Outside the Country,No,No,Television;Radio,No,No,No,Hardship in the country
Female,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Married,Monogamous,Employed,Tertiary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio;Social Media,No,Yes,Yes,Success story of others
Female,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Face to Face,No,No,No,For a better life
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television,No,No,No,No money
Female,Uhunmwode,Eyaen,25-30,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,No,Yes,Television;Radio;Social Media,No,No,No,Success story of others
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Polygamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio;Social Media,No,No,No,For a better life
Male,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio;Social Media,No,Yes,Not Sure,Hardship
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,No,No,Television;Radio,No,No,No,Suffering
Female,Uhunmwode,Eyaen,25-30,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio,No,Not sure,Not Sure,Money
Female,Uhunmwode,Eyaen,31 and Above,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Don't Know,Don't Know,No,Yes,Television,Yes,No,No,Lack of money and hunger
Male,Uhunmwode,Eyaen,31 and Above,Christianity,Yoruba,Married,Monogamous,Self Employed/Business owner,Secondary Education,No,Yes,No,Don't Know,No,No,Television;Social Media,No,No,No,Bad economy in Nigeria
Female,Uhunmwode,Eyaen,31 and Above,Christianity,Others,Married,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio;Social Media;Face to Face,Yes,Yes,Yes,poverty
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Social Media,No,No,No,Bad economy 
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Polygamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Social Media,No,No,No,hunger
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Married,Monogamous,Employed,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio;Social Media,Yes,No,No,Need of money
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio,No,No,No,Poverty
Female,Uhunmwode,Eyaen,25-30,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Radio,No,No,No,Dead state of the country
Male,Uhunmwode,Eyaen,31 and Above,Christianity,Yoruba,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio,No,No,No,Bad situation of the country
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Television;Radio,Yes,Yes,Yes,Dead state of the country
Female,Uhunmwode,Eyaen,18-24,Christianity,Others,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio,No,No,No,"To change location
Poverty"
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,No,No,Don't Know,Yes,Yes,Television;Radio,No,No,No,"Bad state of the country
To earn a living"
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Married,Monogamous,Unemployed,Secondary Education,Yes,No,Don't Know,Don't Know,Yes,Yes,Television;Radio,No,No,No,Poverty
Male,Uhunmwode,Eyaen,25-30,Christianity,Others,Single,Polygamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio,No,No,No,To earn a living
Male,Uhunmwode,Eyaen,25-30,Christianity,Yoruba,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio,No,No,No,Bad governance
Male,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,No,Television;Radio,No,No,No,poverty
Male,Uhunmwode,Eyaen,25-30,Christianity,Yoruba,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television;Social Media,No,No,No,"Money, hunger"
Female,Uhunmwode,Eyaen,18-24,Christianity,Others,Single,Monogamous,Employed,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television,No,No,No,Poverty
Female,Uhunmwode,Eyaen,25-30,Christianity,Yoruba,Married,Monogamous,Employed,Secondary Education,Yes,Yes,No,Don't Know,No,No,Radio,No,No,No,Bad economy
Female,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Polygamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Social Media;Face to Face,No,No,No,To make ends meet
Female,Uhunmwode,Eyaen,25-30,Christianity,Edo,Single,Monogamous,Employed,Primary Education,No,No,No,Don't Know,No,No,Television;Face to Face,No,No,No,To make Money
Male,Uhunmwode,Eyaen,18-24,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,No,No,No,Don't Know,No,No,Radio,No,No,No,To look for money
